map,num_samples,time
corridor,100,12.671398401260376
corridor,200,34.80539393424988
corridor,300,67.81997013092041
corridor,400,110.2499623298645
corridor,500,159.14816284179688
obstacle,100,24.12723970413208
obstacle,200,67.19346261024475
obstacle,300,131.82538652420044
obstacle,400,214.39584398269653
obstacle,500,321.8453185558319
cross,100,18.26904010772705
cross,200,55.80561375617981
cross,300,113.90358066558838
cross,400,193.63018250465393
cross,500,290.1778748035431
corridor_exchange,100,12.730122804641724
corridor_exchange,200,35.11707782745361
corridor_exchange,300,68.01999282836914
corridor_exchange,400,109.78605818748474
corridor_exchange,500,161.03523421287537
corridor_narrow,100,13.078660488128662
corridor_narrow,200,35.24330234527588
corridor_narrow,300,67.72683262825012
corridor_narrow,400,110.33190727233887
corridor_narrow,500,157.62280941009521
swarm,100,33.22374105453491
swarm,200,91.9339771270752
swarm,300,182.93071508407593
swarm,400,306.15526151657104
swarm,500,461.3559195995331
